first_name,last_name,title,from_date,emp_no
Przemyslawa,Falby,Senior Engineer,1987-07-23,10538
Godehard,Eiter,Staff,1986-02-28,10541
Ramalingam,Gunderson,Senior Staff,1993-07-04,10548
Jianhao,Thisen,Senior Engineer,2000-11-22,10564
Theirry,Yeung,Senior Engineer,1988-10-04,10575
Hidde,Hettesheimer,Staff,1987-06-18,10591
Adhemar,Talmor,Senior Engineer,1986-05-25,10608
Hidekazu,Angel,Senior Staff,1991-10-30,10617
Aleksander,Danlos,Senior Engineer,1999-01-15,10623
Krisda,Krogh,Senior Engineer,2001-03-14,10628
Lalit,Francisci,Staff,1999-10-20,10629
Inderjeet,Chaudhuri,Engineer,1994-10-18,10631
Hirochika,Narlikar,Engineer,1998-10-05,10642
Otmar,Feinberg,Senior Engineer,1987-04-30,10653
Parviz,Rebaine,Senior Staff,2001-09-13,10671
Bluma,Zeilberger,Senior Engineer,1991-09-29,10672
Valeri,Danley,Engineer,1999-09-04,10676
Berhard,Daescu,Senior Staff,1991-01-08,10693
Rildo,Straney,Senior Staff,1993-01-25,10694
Bader,Szemeredi,Senior Engineer,1991-01-14,10702
Adib,Rullman,Senior Engineer,1997-07-21,10718
Zita,Minakawa,Senior Engineer,2001-02-24,10726
Fumitaka,Peak,Senior Staff,1994-02-20,10731
Sachar,Erdi,Engineer,1995-12-19,10734
Poorav,Ranze,Senior Engineer,1997-01-22,10745
King,Brendel,Senior Engineer,1990-09-26,10749
Jordanka,Ushiama,Engineer,1999-12-14,10751
Monique,Doering,Staff,1997-07-15,10767
Ishfaq,Candan,Senior Engineer,1990-07-04,10768
Mizuhito,Kemmerer,Senior Engineer,1996-03-16,10777
Selwyn,Merey,Senior Staff,1986-07-04,10778
Tadahiko,Sgarro,Senior Engineer,1995-07-31,10791
Supot,Naudin,Senior Staff,1999-05-03,10795
Katsuyuki,Velasco,Senior Engineer,1997-04-20,10803
Chenxi,Leijenhorst,Senior Engineer,1987-03-07,10808
Tomoyuki,Kermarrec,Engineer,1995-08-22,10835
Jianhua,Leivant,Senior Staff,1987-08-10,10836
Dipayan,Koprowski,Engineer,1997-04-25,10844
Theirry,Danley,Senior Staff,1992-07-24,10847
Fen,Bratsberg,Senior Engineer,1992-04-20,10848
Billur,Gyorkos,Engineer,1997-03-23,10867
Lakshmi,Deville,Staff,1997-04-25,10878
Muzhong,Chleq,Senior Engineer,1985-08-15,10879
Shimshon,Champarnaud,Engineer,1996-12-28,10883
Vishwani,Petersohn,Staff,1986-04-26,10895
Georgi,Atchley,Senior Engineer,2000-12-26,10909
Oscal,Fasbender,Senior Staff,1991-04-23,10912
Susumu,Reghbati,Staff,1990-01-29,10918
Mara,Bahi,Senior Engineer,1995-07-27,10921
Hironoby,Atchley,Senior Staff,1997-08-14,10924
Gal,Scallan,Senior Staff,1993-09-12,10927
Mountaz,Schicker,Senior Staff,1996-05-08,10936
Berna,Skafidas,Senior Engineer,1999-05-22,10943
Eckart,Braunschweig,Senior Staff,1986-07-29,10965
Premal,Noriega,Senior Engineer,1994-05-12,10969
Muneo,Papsdorf,Senior Engineer,1999-05-17,10974
Masako,Schiper,Technique Leader,1985-10-11,10986
Chinya,Deyuan,Senior Engineer,1985-06-19,10988
Sumali,Candan,Senior Staff,1991-07-20,10989
Shin,Foote,Technique Leader,1990-08-06,10990
Alper,Axelband,Senior Staff,1993-09-09,11009
Taegyun,Speckmann,Staff,1996-07-06,11012
Leon,Huttel,Senior Engineer,1997-05-24,11019
Srinidhi,Henders,Staff,1998-02-02,11021
Remzi,Cappello,Senior Engineer,1996-05-06,11027
Miyeon,Krider,Senior Engineer,1991-06-18,11028
Ottavia,Walstra,Senior Staff,1993-10-24,11031
Lansing,Maliniak,Senior Engineer,1995-01-28,11037
Jinya,Beidas,Senior Staff,1992-07-15,11038
Gou,Breugel,Senior Engineer,2000-06-21,11042
Jaques,Demke,Senior Staff,1999-05-27,11048
Elvis,Katiyar,Senior Staff,1991-05-06,11050
Przemyslawa,Erol,Senior Engineer,2000-03-26,11051
Adib,Raney,Senior Engineer,1991-07-24,11070
Barry,Boyle,Senior Staff,1994-06-17,11081
Hailing,Thummel,Senior Engineer,1996-02-10,11085
Berna,Cochrane,Senior Staff,1993-10-13,11100
Aris,Iwayama,Senior Engineer,1997-08-30,11106
Valeska,Birjandi,Staff,1987-11-14,11110
Boaz,Mukaidono,Staff,1995-04-28,11112
Shahab,Peng,Senior Staff,1991-11-30,11113
Vugranam,Kakkad,Senior Engineer,1999-11-01,11121
Nalini,Azulay,Technique Leader,1994-03-06,11133
Sachar,Rajcani,Senior Engineer,2002-05-19,11134
Hugh,Luca,Engineer,1995-03-16,11137
Bogdan,Homond,Senior Staff,1995-05-11,11139
Ishfaq,Masand,Senior Staff,1997-08-21,11146
Zhanqiu,Botman,Senior Staff,1997-02-08,11148
Kauko,Narlikar,Senior Engineer,1990-03-28,11162
Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,11180
Tadahiro,Fordan,Senior Staff,1989-09-12,11197
Sakthirel,Yetto,Senior Staff,1996-01-06,11203
Diederik,Covnot,Technique Leader,1985-09-18,11204
Saeed,Gips,Engineer,1999-01-31,11207
Saniya,Valtorta,Technique Leader,1994-11-17,11208
Yurij,Rissland,Senior Engineer,1985-09-17,11211
Kellie,Mawatari,Senior Engineer,1990-03-11,11217
Hidefumi,Crelier,Senior Staff,2000-08-01,11232
Kiam,Condotta,Engineer,1997-01-06,11240
Randi,Cyre,Engineer,1994-09-22,11249
Aimee,Petersohn,Senior Engineer,1995-10-25,11268
Hitomi,Eppinger,Senior Engineer,1998-04-25,11275
Visit,Dredge,Engineer,1999-05-13,11290
Abdelkader,Lanzelotte,Senior Staff,1990-05-15,11295
Pranas,Marrakchi,Assistant Engineer,1998-11-01,11319
Atilio,McAlpine,Senior Staff,1998-04-06,11320
Nathalie,Pocchiola,Senior Engineer,1999-07-08,11322
Kauko,Billingsley,Senior Engineer,1985-08-29,11324
Kwangsub,Hanratty,Senior Staff,1998-10-28,11338
Flemming,Massonet,Senior Engineer,1989-12-19,11339
Anneli,Jonsson,Senior Engineer,1992-04-19,11347
Toshimi,Shinomoto,Engineer,1997-12-18,11365
Valery,Suomi,Senior Staff,1994-03-14,11376
Kenroku,Pelc,Senior Engineer,2001-04-18,11380
Shiv,Ullian,Engineer,1999-08-08,11385
Alselm,Assaf,Senior Engineer,1993-11-29,11386
Junsik,Junot,Senior Engineer,1992-04-30,11393
Oscar,Peir,Senior Staff,2001-09-07,11398
Bedrich,Borovoy,Technique Leader,1990-09-25,11404
Sanjiv,Anido,Engineer,1996-12-07,11415
Josyula,Msuda,Senior Engineer,1995-09-02,11421
Youngkon,Picht,Senior Staff,1991-09-16,11431
Marlo,Aingworth,Senior Staff,1987-03-27,11441
Kotesh,Asser,Senior Engineer,2000-02-03,11449
Duke,Suomi,Senior Staff,1992-05-02,11459
Kish,Cronau,Senior Engineer,1992-08-18,11461
Guttorm,Giaccio,Senior Engineer,1999-09-08,11469
Fox,Narahari,Engineer,1996-07-28,11477
Karsten,Ranum,Senior Staff,1999-10-24,11501
Rance,Picel,Staff,1996-04-08,11506
Aleksander,Feldhoffer,Senior Engineer,1992-11-11,11509
Otmar,Mahnke,Senior Staff,1998-08-25,11513
Ulf,Basawa,Staff,1998-09-21,11515
Jinxi,Oxman,Senior Staff,1999-09-22,11518
Xiadong,Standera,Senior Engineer,1996-07-05,11524
Alagu,Boyle,Staff,1999-01-28,11527
Zito,Dolinsky,Technique Leader,1987-06-15,11528
DAIDA,Pehl,Senior Staff,1986-07-06,11537
Subhash,Taubenfeld,Staff,1998-07-15,11554
Kotesh,Perfilyeva,Senior Staff,1991-10-14,11555
Rimli,Alencar,Engineer,1988-06-30,11562
Teiji,Mitzlaff,Senior Staff,1996-02-03,11567
Martins,Fujisaki,Senior Engineer,2000-03-13,11568
Edwin,Rosti,Senior Engineer,1991-11-22,11578
Kaijung,Panangaden,Senior Staff,1994-12-24,11588
Herb,Swen,Senior Staff,1994-04-13,11603
Tomokazu,Foong,Engineer,1995-04-19,11607
Shem,Isaak,Senior Staff,2000-08-28,11615
Adil,Gammage,Senior Engineer,1996-07-15,11624
Fan,Malinowski,Senior Engineer,1997-10-23,11628
Valeri,Coorg,Senior Engineer,1988-09-26,11640
Magy,Nitsche,Senior Engineer,1993-05-11,11647
Gill,Stenning,Senior Staff,1994-11-22,11660
Henk,Felder,Technique Leader,1989-06-10,11673
Valeri,Ferriere,Engineer,1998-07-15,11676
Fumitake,Benzmuller,Senior Engineer,1995-08-28,11681
Oksana,Gide,Senior Staff,1995-02-21,11684
Dante,Rothe,Senior Staff,1994-10-23,11696
Arve,Hofmeyr,Senior Staff,1990-10-30,11705
Sanjoy,Ranft,Senior Engineer,1996-12-22,11732
Amalendu,Picci,Senior Staff,1997-07-14,11735
Tadahiro,Lichtman,Senior Engineer,1992-06-18,11738
Koichi,Marrakchi,Senior Staff,1995-11-18,11746
Aksel,Kossowski,Senior Staff,1993-02-20,11747
Jiafu,Emiris,Senior Staff,1993-11-03,11751
Sanjay,Anick,Senior Engineer,1996-12-15,11764
Chandrasekaran,Lampe,Senior Staff,2001-10-22,11769
Gaurav,Penz,Engineer,1999-11-07,11772
Chenxi,Thambidurai,Senior Staff,1996-08-30,11797
Rosine,Grandbois,Assistant Engineer,1985-09-01,11805
Amabile,Bhattacharjee,Senior Engineer,1992-01-05,11810
Gita,Muhlberg,Staff,1987-03-16,11813
Niranjan,Markovitch,Senior Staff,1993-04-12,11817
Arto,Zlotek,Engineer,1996-02-04,11832
Taiji,Nitta,Staff,1986-07-11,11838
Shawna,Demeyer,Senior Engineer,1995-01-27,11844
Zeljko,Kusakabe,Senior Staff,1996-11-17,11853
Divier,Farrag,Senior Staff,1986-08-27,11857
Pradeep,Kriebel,Staff,1995-11-02,11864
Nalini,Sommen,Senior Engineer,1998-10-13,11871
Cheong,Riexinger,Senior Staff,2002-02-12,11872
Nectarios,Bhattacharjee,Engineer,1988-04-16,11883
Mitchel,Validov,Senior Engineer,1988-06-22,11894
Cordelia,Setlzner,Senior Staff,1997-06-16,11897
Hideo,Boguraev,Engineer,1999-02-07,11906
Miomir,Mawatari,Senior Engineer,2001-06-28,11915
Gunilla,Chiodo,Senior Staff,2000-01-13,11931
Basil,Erman,Senior Engineer,1992-06-12,11933
Martijn,Harbusch,Technique Leader,1985-03-11,11949
Jaana,Hedayat,Senior Engineer,1994-10-11,11983
Vidya,Schaar,Senior Staff,1994-10-17,11987
Chinya,Chinin,Senior Engineer,1990-11-03,11988
Marit,Dalphin,Senior Staff,1996-10-22,11993
Zhilian,Coorg,Senior Staff,1997-07-22,12011
Jaewoo,Heiserman,Staff,1985-02-28,12025
Visit,Serot,Engineer,1997-11-30,12033
Mads,Ratzlaff,Senior Staff,1995-09-05,12036
Arunas,Katzenelson,Senior Staff,1992-09-30,12037
Yuchang,Tchuente,Engineer,1996-04-01,12050
Masako,Khasidashvili,Technique Leader,1986-04-07,12052
Margareta,Worfolk,Senior Staff,1996-01-04,12062
Ayonca,Burnard,Senior Engineer,1995-05-13,12069
Ger,Shokrollahi,Technique Leader,1988-11-14,12070
Karlis,Siprelle,Senior Staff,1985-03-25,12076
Xinan,Yamaashi,Senior Staff,1992-01-29,12082
Weijing,Jumpertz,Engineer,1986-08-16,12087
Bilhanan,Socorro,Senior Staff,1994-10-22,12089
Nobuyoshi,Kuzuoka,Senior Staff,1999-02-15,12099
Becky,Erie,Staff,1990-04-23,12103
Satyanarayana,Avouris,Senior Staff,1997-09-26,12112
Satoru,Krone,Senior Engineer,1992-07-23,12122
Xiahua,Syrzycki,Senior Staff,1994-07-18,12123
Shounak,Erman,Engineer,1997-03-31,12125
Yannik,Barreiro,Staff,1997-08-16,12128
Suebskul,Grandbois,Senior Staff,1988-10-01,12149
Shem,Perly,Senior Engineer,1985-07-17,12159
Xiaobin,Maquelin,Senior Engineer,1994-08-29,12165
Adel,Nanard,Senior Engineer,1998-09-20,12173
Harngdar,Iisaku,Engineer,1998-04-04,12183
Feiyu,Klyachko,Senior Engineer,1991-09-02,12192
Sushant,Rossi,Senior Engineer,1987-11-11,12205
Barton,Janetzko,Senior Engineer,2001-03-27,12206
Yaghout,Strooper,Senior Engineer,2000-03-11,12218
Vincent,Melter,Senior Engineer,1991-09-16,12221
Abdelwaheb,Holburn,Senior Staff,1996-08-14,12222
Niteen,Koyama,Senior Engineer,1995-08-13,12223
Subbu,Penttonen,Technique Leader,1985-04-09,12247
Eldridge,Sadowski,Senior Engineer,1996-06-20,12249
Chaitali,Stafford,Engineer,1988-12-23,12254
Guadalupe,Reghbati,Senior Staff,1992-08-26,12256
Mart,Pagter,Engineer,1998-01-09,12264
Shakhar,Kornyak,Senior Staff,1996-08-19,12270
Behnaam,Grandbois,Senior Staff,1992-12-07,12272
Garnik,Papadias,Engineer,1988-04-01,12274
Yongmin,Lenart,Senior Engineer,2001-06-13,12276
Godehard,Braccini,Senior Staff,1988-06-13,12303
Mototsugu,Cronau,Senior Staff,1991-08-11,12308
Susanne,Lubachevsky,Senior Engineer,1985-10-22,12311
Chenye,Velasco,Engineer,1994-11-24,12312
DAIDA,Bruckman,Senior Engineer,1992-10-15,12327
Arnould,Genin,Senior Staff,1995-12-01,12335
Rasiah,Luga,Senior Engineer,1990-05-25,12341
Sorina,Slaats,Senior Staff,1997-08-25,12343
Kamakshi,Bisiani,Senior Engineer,1994-09-12,12365
Mooi,Driscoll,Senior Staff,1993-11-11,12373
Sanjit,Felder,Senior Staff,1995-06-05,12395
Mihalis,Luga,Senior Staff,1996-12-06,12399
Shao,Ibel,Senior Staff,1991-08-17,12411
Hugh,Gadepally,Senior Engineer,1999-03-04,12413
Uri,Sluis,Staff,1994-10-17,12415
Dannz,Spelt,Senior Engineer,1998-02-02,12417
Berhard,Demos,Senior Staff,2001-06-07,12422
Pramod,Marzano,Senior Engineer,1991-11-26,12451
Kerryn,Farris,Staff,1998-12-18,12454
Shai,Milicic,Staff,1998-06-01,12464
Filipe,Roison,Senior Engineer,1996-04-25,12475
Yahiko,Hopewell,Senior Staff,1997-07-05,12478
Mona,Reghbati,Senior Staff,1998-12-07,12487
Arnould,Munck,Senior Engineer,1986-04-11,12489
Jackson,Muchinsky,Senior Engineer,2000-05-08,12490
Filipp,Menhardt,Senior Engineer,1988-08-08,12493
Stein,Penz,Senior Staff,1997-09-25,12497
Morrie,Matheson,Senior Staff,1986-06-05,12501
Adly,Rosaz,Engineer,1997-08-14,12504
Tomofumi,Melter,Engineer,1999-11-13,12514
Conor,Cincotta,Senior Staff,1997-09-24,12528
Yongmao,Gerlach,Senior Engineer,1985-08-14,12534
Shih,Nanard,Senior Staff,1996-08-31,12541
Kazuhide,Bouloucos,Senior Staff,1993-09-11,12542
Jeane,Tzvieli,Senior Engineer,1993-12-03,12551
Aral,Vesna,Senior Staff,1987-02-28,12553
Stafford,Kopetz,Senior Engineer,1988-03-20,12557
Anoosh,Chleq,Senior Engineer,1997-09-08,12589
Breannda,Roisin,Senior Staff,1996-09-29,12596
Ghassan,Simkin,Senior Engineer,2002-07-09,12601
Nectarios,Mondadori,Senior Staff,2000-02-22,12608
Xinyu,Restivo,Senior Engineer,2000-02-03,12635
Poorav,Karner,Senior Staff,1995-11-02,12637
Yuqun,Seiwald,Engineer,1999-04-29,12638
Suebskul,Gips,Senior Staff,2001-10-28,12642
Pragnesh,Bael,Senior Staff,1988-01-27,12651
Leucio,Alvarado,Engineer,1994-08-27,12662
Nobuyoshi,Stellhorn,Technique Leader,1986-09-29,12663
Zhonghua,Parveen,Staff,1999-08-04,12664
Carrsten,Borovoy,Engineer,1999-06-26,12678
Luerbio,Boudaillier,Senior Engineer,2001-11-23,12689
Oddvar,Gils,Senior Engineer,1998-08-25,12691
Kazuhira,Luders,Engineer,1995-12-01,12694
Uri,Brizzi,Senior Staff,1994-07-11,12697
Ronghao,Botman,Senior Engineer,2001-02-25,12709
Tzu,Jiafu,Staff,1999-10-20,12717
Elliott,Cheshire,Senior Staff,1985-03-29,12722
Fumitake,Panwar,Senior Engineer,1994-05-19,12726
Nahla,Rahier,Senior Engineer,1997-10-15,12729
Barry,Perl,Technique Leader,1993-07-24,12730
Yongmao,Waymire,Senior Staff,1988-04-05,12731
Mara,Takanami,Senior Staff,1988-04-06,12732
Gil,Frijda,Senior Engineer,1986-03-03,12734
Rildo,Rodite,Senior Staff,1994-03-18,12755
LiMin,Kuszyk,Senior Staff,1987-05-31,12759
Jenwei,Lovengreen,Senior Engineer,1994-03-05,12773
Mariangiola,Berendt,Engineer,1999-02-24,12775
Gunilla,Perl,Senior Staff,2000-08-07,12790
Masoud,Fordan,Senior Staff,1997-06-23,12795
Lillian,Beeson,Senior Staff,1996-12-26,12798
Gad,Boissier,Senior Staff,1990-03-16,12803
Sushant,Junot,Senior Staff,1993-02-27,12815
Freyja,Ramras,Senior Engineer,1992-04-18,12816
Mountaz,Gubsky,Senior Engineer,1996-09-09,12819
Krisda,Cyne,Senior Staff,2000-10-15,12846
Kazuhide,Smeets,Engineer,1997-05-11,12848
Mang,Brobst,Senior Staff,1993-01-04,12853
Leif,Matheson,Senior Engineer,1990-09-06,12863
Marl,Schmittgen,Senior Staff,1993-09-09,12872
Apostol,Goodrum,Engineer,1999-09-01,12876
Baruch,Eugenio,Senior Engineer,1995-06-11,12879
Martien,Erni,Senior Staff,1992-05-06,12888
Neven,Casley,Senior Staff,1985-10-31,12890
Licheng,Crouzet,Senior Staff,1995-03-18,12893
Roddy,Serot,Senior Engineer,1993-08-15,12895
Munehiro,Gecsei,Senior Engineer,1993-07-18,12905
Jacqueline,Porenta,Senior Staff,1985-11-20,12922
Heekeun,Luby,Senior Staff,1992-12-24,12926
Arup,Cincotta,Staff,1991-10-27,12937
Odinaldo,Farrar,Senior Engineer,1992-12-11,12940
Tommaso,Perelgut,Senior Engineer,1995-11-06,12941
Geoff,Asrin,Senior Engineer,1992-02-12,12949
Mohammad,Keirsey,Senior Staff,1987-09-17,12951
Juyoung,Azevdeo,Staff,1988-04-03,12972
Gift,Frolund,Senior Staff,1994-10-24,12974
Byong,Markovitch,Senior Engineer,1992-08-23,12977
Elliott,Hambrick,Staff,1999-06-28,12983
Florina,Harbusch,Senior Engineer,1987-12-24,13012
Yahiko,Kroll,Senior Staff,1999-11-25,13030
Vivian,Stafford,Senior Staff,1987-04-19,13046
Atilio,Chelton,Senior Engineer,1997-02-25,13047
Fan,Naudin,Staff,1985-10-06,13049
Xinglin,Baak,Technique Leader,1993-01-08,13062
Rosella,Morrin,Senior Staff,1991-08-17,13075
Deniz,Skafidas,Engineer,1995-01-28,13076
Ibibia,Armand,Senior Engineer,2001-04-22,13096
Srinidhi,Ellozy,Senior Engineer,1988-06-19,13103
Kwun,Landherr,Staff,1993-01-16,13113
Quingbo,Garnick,Senior Staff,1985-03-17,13124
Guther,Senzako,Senior Staff,1991-09-03,13133
Lorien,Chepyzhov,Senior Engineer,1993-10-22,13134
Persi,Nollmann,Senior Staff,1997-06-19,13144
Haldon,Erie,Senior Staff,1985-05-25,13146
Shichao,Ginesta,Senior Staff,1998-06-29,13147
Akeel,Millington,Senior Engineer,2000-08-18,13156
Lucian,Benner,Senior Engineer,1995-03-17,13165
Munir,Stentiford,Senior Engineer,1992-09-10,13168
Cheong,Bernardeschi,Senior Staff,1998-01-09,13170
Anoosh,Birnbaum,Senior Engineer,1995-08-31,13171
Arve,Horswill,Senior Staff,1996-09-23,13173
Moty,Janocha,Staff,1999-02-19,13179
Kokou,Rodite,Engineer,1999-03-03,13182
Kyoichi,Barbanera,Senior Staff,1995-04-29,13186
Rosita,Flowers,Technique Leader,1993-02-01,13192
Aram,Scharstein,Senior Staff,1992-03-28,13202
Jianhua,Klassen,Senior Staff,2002-07-27,13210
Hein,Billawala,Senior Staff,1993-08-30,13213
Premsyl,Famili,Senior Staff,1993-02-26,13221
Mitchel,Fujisaki,Technique Leader,1986-06-02,13232
Alselm,Chvatal,Senior Engineer,1995-03-31,13233
Ebru,Foote,Senior Staff,1998-10-10,13238
King,Pileggi,Senior Engineer,2001-03-10,13240
Fay,Huxford,Staff,1999-09-18,13243
Zeydy,Schusler,Senior Engineer,1998-10-27,13250
Arun,Jiang,Senior Staff,1985-03-10,13272
Yechiam,Seuren,Senior Staff,1991-03-09,13276
Muneo,Broomell,Senior Staff,1995-04-14,13288
Georg,Stamatiou,Senior Engineer,1993-10-30,13291
Guiseppe,Butner,Staff,1997-03-08,13299
Mack,Alencar,Senior Engineer,1997-09-26,13302
Bikash,Herath,Senior Staff,1994-07-17,13305
Sakthirel,Stroustrup,Senior Engineer,1999-06-02,13315
Nidapan,Pearson,Senior Engineer,1997-09-23,13332
Yoshinari,Hennebert,Engineer,1996-03-23,13333
Bodh,Doering,Senior Staff,1992-03-10,13341
Heon,Usery,Senior Staff,1995-07-30,13343
Kiyokazu,Klassen,Staff,1997-09-30,13368
Nakhoon,Riexinger,Senior Engineer,1991-12-13,13371
Juichirou,Naumovich,Senior Staff,2000-08-23,13373
Khosrow,Sgarro,Technique Leader,1986-02-23,13386
Divine,Cmelik,Senior Staff,1988-03-23,13389
Fumitake,Beidas,Senior Staff,1993-08-26,13392
Chuanyi,Aumann,Senior Staff,1994-03-29,13396
Augustine,Dulli,Engineer,1999-09-12,13402
Randy,Baba,Senior Staff,1990-05-10,13405
Gio,Chenoweth,Senior Engineer,2001-10-03,13407
Sreekrishna,Lagarias,Senior Engineer,2000-07-24,13408
Nathalie,Speer,Technique Leader,1991-04-25,13415
Vishwani,Gerlach,Senior Engineer,1995-01-17,13422
Giordano,Miake,Senior Staff,1994-06-16,13442
Mayuko,Puppo,Senior Engineer,1996-12-25,13443
Renee,Dehkordi,Engineer,1996-11-29,13445
Gretta,Weiland,Senior Staff,1995-08-23,13451
Shooichi,Parfitt,Senior Engineer,1991-01-18,13457
Feipei,Nivat,Senior Engineer,1995-03-02,13458
Theron,Berstel,Senior Engineer,1993-01-25,13463
Sasan,Rehfuss,Engineer,1999-03-12,13465
Uinam,Jullig,Senior Engineer,1992-09-06,13493
Parto,Mandell,Engineer,1994-12-21,13504
Jaewoo,Tasistro,Engineer,1988-12-16,13521
Chaoyi,Porotnikoff,Senior Staff,2000-10-27,13524
Arunas,Schlenzig,Senior Engineer,2000-05-19,13535
Aimee,Brookner,Senior Engineer,1997-10-26,13546
Matk,Koprowski,Technique Leader,1997-06-18,13549
Ingmar,Capobianchi,Senior Staff,1993-03-23,13552
Sibyl,Jeong,Engineer,1994-07-28,13560
Jungsoon,Engberts,Senior Staff,2001-08-29,13576
Tadahiko,Christianini,Technique Leader,1994-05-22,13578
Dmitry,Encarnacion,Senior Staff,1991-09-29,13605
Fei,Haddadi,Engineer,1995-02-09,13621
Zhigen,Yurek,Senior Staff,1996-05-11,13624
Dzung,Trelles,Senior Engineer,1994-01-03,13629
Zejun,Lamba,Technique Leader,1985-11-16,13648
Stamatina,Plesums,Engineer,1987-09-02,13651
Kristen,Iivonen,Senior Staff,2000-01-17,13653
Moti,Takanami,Senior Engineer,1988-06-30,13670
Denny,Speer,Staff,1996-02-05,13680
Elvia,Christ,Senior Staff,1985-02-06,13684
Weicheng,Hockney,Senior Engineer,1999-11-29,13685
Shuichi,Weedon,Technique Leader,1985-06-20,13697
Domenico,Mitchem,Engineer,1991-03-19,13698
Vishu,Kumaresan,Senior Engineer,1995-10-01,13704
Sugwoo,Delgrossi,Senior Staff,2001-09-20,13721
Vitali,Merey,Staff,1999-10-07,13727
Bangqing,Mitchem,Engineer,1998-06-30,13738
Masaru,Capobianchi,Senior Staff,1987-03-06,13747
Tremaine,Heemskerk,Senior Staff,1986-08-18,13766
Sedat,Lovengreen,Staff,1986-11-19,13768
Yakichi,Trogemann,Senior Staff,1988-10-18,13769
Arve,Maierhofer,Senior Staff,1994-10-21,13775
Takushi,Berendt,Senior Staff,1995-05-19,13786
