emp_no,first_name,last_name,title,to_date,from_date,hire_date
41609,Yucai,Simmen,Senior Staff,9999-01-01,1987-10-13,1987-10-13
42778,Shuji,Remmers,Senior Staff,9999-01-01,1996-12-17,1986-08-06
42911,Brigham,Eterovic,Senior Engineer,9999-01-01,1999-10-08,1991-09-12
42950,Shaleah,Eickenmeyer,Senior Staff,9999-01-01,1993-10-09,1989-05-11
42955,Yucel,Lortz,Engineer,9999-01-01,1995-02-21,1995-02-21
43154,Maha,Waterhouse,Senior Staff,9999-01-01,2002-07-04,1997-03-15
43733,Huei,Boguraev,Senior Staff,9999-01-01,1998-12-31,1987-09-25
43848,Phillip,Oxenboll,Engineer,9999-01-01,1999-05-26,1996-07-25
44054,Alenka,Ritcey,Engineer,9999-01-01,1997-02-09,1997-02-09
44265,Maria,Eppinger,Engineer,9999-01-01,1997-01-30,1992-09-25
44540,Mingzeng,Sadowski,Senior Engineer,9999-01-01,1989-11-12,1987-07-03
44900,Mark,Schwaller,Senior Staff,9999-01-01,2001-08-10,1989-09-06
44959,Volkmar,Uhrik,Senior Engineer,9999-01-01,1995-01-16,1988-01-16
44962,Sariel,Wynblatt,Assistant Engineer,9999-01-01,1996-05-18,1996-05-18
45162,Dulce,Speel,Senior Engineer,9999-01-01,1996-10-18,1987-10-19
46000,Zhaofang,Penn,Senior Staff,9999-01-01,2002-07-24,1994-01-13
46328,Wuxu,Trogemann,Senior Staff,9999-01-01,1997-01-27,1987-06-05
46811,Junsik,Berendt,Senior Engineer,9999-01-01,1988-04-27,1988-04-27
46834,Tooru,Daescu,Senior Staff,9999-01-01,1998-03-20,1993-06-16
46943,Pasqua,Maraist,Senior Engineer,9999-01-01,1998-12-06,1993-12-06
47016,Toong,Litecky,Senior Staff,9999-01-01,1994-03-01,1989-03-01
47139,Marco,Usdin,Engineer,9999-01-01,1996-10-29,1995-05-28
47262,Gonzalo,Binkley,Senior Engineer,9999-01-01,1990-08-16,1985-02-09
47515,Naraig,Jenevein,Senior Engineer,9999-01-01,1987-01-18,1987-01-18
47702,Juyoung,Vieri,Senior Staff,9999-01-01,1999-08-12,1989-07-05
47708,Edwin,Haldar,Senior Staff,9999-01-01,1995-07-12,1989-05-04
48275,Sariel,Massonet,Senior Staff,9999-01-01,1993-11-19,1987-01-01
48690,Hitomi,Schaap,Staff,9999-01-01,1999-09-27,1995-03-02
48882,Leen,Lamparter,Senior Engineer,9999-01-01,2001-06-07,1993-06-07
48904,Yuichiro,Malabarba,Senior Staff,9999-01-01,1999-03-07,1989-07-28
48947,Filipp,Akaboshi,Senior Staff,9999-01-01,1992-05-20,1992-05-20
49010,Kazuhisa,Benantar,Senior Staff,9999-01-01,1994-10-23,1989-10-23
49017,Filipp,Flanders,Senior Engineer,9999-01-01,1999-11-26,1990-11-26
49119,Lena,Peek,Senior Engineer,9999-01-01,1997-05-15,1991-05-16
49177,Tze,Bach,Engineer,9999-01-01,1999-03-09,1995-04-16
49464,Siddarth,Cappelletti,Staff,9999-01-01,1999-09-10,1997-01-30
49477,Baocai,Leaver,Senior Staff,9999-01-01,1998-08-05,1997-10-24
50293,Xinan,Rindone,Engineer,9999-01-01,1996-10-08,1996-10-08
50311,Mooi,Stafford,Senior Engineer,9999-01-01,1996-10-06,1996-10-06
50453,Aron,Harbusch,Staff,9999-01-01,1997-10-02,1997-10-02
50670,Boguslaw,Snedden,Senior Staff,9999-01-01,1993-02-20,1985-02-20
50831,Marie,Khalid,Senior Engineer,9999-01-01,1990-10-27,1990-10-27
51036,Chriss,Fasbender,Staff,9999-01-01,1995-05-23,1986-03-30
51057,Theirry,Albarhamtoshy,Senior Staff,9999-01-01,1996-09-26,1991-09-27
51060,Youngkon,Rohrbach,Senior Engineer,9999-01-01,1998-10-20,1989-10-20
51142,Rosine,Lakshmanan,Senior Engineer,9999-01-01,1991-01-31,1986-01-31
52038,Chikako,Armand,Senior Engineer,9999-01-01,1985-05-18,1985-05-18
52040,Phule,Heijenga,Senior Staff,9999-01-01,1998-02-21,1992-02-22
52283,Trygve,Krupka,Senior Staff,9999-01-01,2001-03-11,1992-10-27
52386,Adas,Denti,Senior Staff,9999-01-01,1995-05-30,1986-05-30
52590,Jouni,Munoz,Senior Staff,9999-01-01,2000-11-25,1989-04-30
52599,Augustine,Mungall,Senior Engineer,9999-01-01,1996-08-30,1987-08-31
52639,Arup,Colorni,Senior Staff,9999-01-01,1996-02-05,1996-02-05
52770,Shugo,Yurek,Senior Staff,9999-01-01,1998-08-28,1986-01-06
52778,Alain,Penn,Technique Leader,9999-01-01,1986-05-03,1986-05-03
52956,Khalil,Picci,Senior Engineer,9999-01-01,1992-03-20,1985-07-15
52970,Lobel,Werthner,Senior Engineer,9999-01-01,1997-03-17,1988-03-17
53278,Premsyl,Lortz,Senior Staff,9999-01-01,1999-02-01,1988-05-11
53314,Eberhardt,Carrera,Staff,9999-01-01,1999-02-23,1998-05-31
53431,Sham,Vasanthakumar,Senior Staff,9999-01-01,1985-10-24,1985-10-24
53499,Zdislav,Mandelberg,Senior Engineer,9999-01-01,2000-09-10,1993-01-10
53597,Jiafu,Marchegay,Senior Engineer,9999-01-01,1992-03-02,1985-03-02
53874,Bodo,Schade,Senior Staff,9999-01-01,1995-02-14,1986-02-14
53924,Arnould,Gaughan,Senior Engineer,9999-01-01,1998-01-23,1988-07-28
54198,Shaowen,Segond,Senior Engineer,9999-01-01,1993-01-06,1986-01-06
54632,Etsuo,Serot,Senior Staff,9999-01-01,1997-06-14,1989-06-14
54795,Sumant,Nergos,Senior Staff,9999-01-01,2000-05-07,1991-12-10
54800,Breannda,Cangellaris,Staff,9999-01-01,2000-01-27,1997-11-12
55640,Adit,Syrotiuk,Senior Engineer,9999-01-01,1999-07-16,1991-06-02
55687,Shih,Lindqvist,Senior Engineer,9999-01-01,1995-03-29,1989-11-04
55799,Jianwen,Litzler,Senior Engineer,9999-01-01,1993-06-16,1987-06-17
55857,Adin,Scallan,Senior Staff,9999-01-01,1996-09-14,1987-09-15
56105,Makato,Remmers,Senior Engineer,9999-01-01,1994-04-16,1989-04-16
56209,Remzi,Douceur,Senior Engineer,9999-01-01,1998-12-01,1988-10-21
56415,Sigeru,Nivat,Senior Staff,9999-01-01,1999-10-24,1986-09-15
56428,Olivera,Hanabata,Senior Staff,9999-01-01,1992-11-09,1986-11-10
56682,Roded,Picco,Assistant Engineer,9999-01-01,1993-11-06,1987-06-12
56829,Nagui,Gruenwald,Engineer,9999-01-01,1995-12-24,1995-12-24
56847,Menkae,Chinin,Senior Engineer,9999-01-01,1989-08-19,1988-12-28
57934,Sanjoy,Boudaillier,Senior Engineer,9999-01-01,1997-12-27,1989-12-27
58141,Bezalel,Karner,Staff,9999-01-01,1994-09-27,1993-05-09
58147,Shigenori,Sullins,Senior Staff,9999-01-01,1988-02-24,1988-02-24
58384,Mariusz,Vural,Senior Engineer,9999-01-01,2001-11-14,1993-11-14
58454,Ziya,Zambonelli,Engineer,9999-01-01,1999-06-29,1993-11-15
58497,Yechiam,Cairo,Senior Staff,9999-01-01,1996-07-12,1995-03-13
58819,Gennady,Liesche,Senior Staff,9999-01-01,1987-12-02,1987-12-02
58990,Palash,Trelles,Engineer,9999-01-01,1998-11-18,1998-11-18
59195,Ronnie,Pollock,Technique Leader,9999-01-01,1990-06-19,1990-06-19
59640,Zita,Hiltgen,Staff,9999-01-01,1999-01-26,1998-08-22
59869,Zsolt,Riefers,Senior Staff,9999-01-01,1994-09-25,1987-09-25
59966,Steen,Salvesen,Technique Leader,9999-01-01,1993-02-03,1993-02-03
60000,Heekeun,Emmart,Engineer,9999-01-01,2001-09-22,1995-09-23
60091,Surveyors,Bade,Senior Staff,9999-01-01,1996-04-10,1988-05-01
60238,Erzsebet,Claffy,Staff,9999-01-01,1997-03-03,1991-04-27
60559,Jeanna,Stemann,Senior Engineer,9999-01-01,1996-08-29,1988-08-29
60821,Moty,Mersereau,Senior Staff,9999-01-01,1999-09-03,1991-09-03
60845,Bedir,Siegrist,Engineer,9999-01-01,1997-05-13,1990-02-11
60875,Rildo,Masaki,Senior Engineer,9999-01-01,1997-01-14,1990-01-14
60959,Tetsushi,Sridhar,Senior Staff,9999-01-01,1997-01-12,1989-01-12
61147,Leszek,Werthner,Staff,9999-01-01,1999-03-03,1999-03-03
61253,Cheong,Uhrik,Senior Engineer,9999-01-01,2001-06-04,1987-02-14
61377,Dannz,Ohori,Senior Staff,9999-01-01,1994-01-17,1988-01-18
61541,Kasidit,Papsdorf,Senior Engineer,9999-01-01,1999-08-17,1993-08-17
61873,Woody,Rusmann,Engineer,9999-01-01,2002-02-26,1993-02-26
62033,Heeju,Cappelli,Senior Engineer,9999-01-01,1994-01-15,1987-01-15
62046,Karlis,Nanard,Senior Engineer,9999-01-01,2001-09-19,1992-09-19
62245,Adel,Bressoud,Engineer,9999-01-01,1995-08-30,1987-10-20
63294,Tetsushi,Tanemo,Senior Engineer,9999-01-01,2002-03-01,1988-05-08
63419,Hiroyasu,Seuren,Senior Engineer,9999-01-01,1989-03-05,1986-01-04
63441,Hinrich,Scallan,Staff,9999-01-01,1999-04-04,1993-12-24
63566,Heekeun,Slaats,Senior Staff,9999-01-01,1999-01-12,1991-05-10
63631,Falguni,Cherinka,Senior Engineer,9999-01-01,1986-09-08,1986-09-08
63706,Sedat,Itzigehl,Engineer,9999-01-01,1997-07-31,1988-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,9999-01-01,1999-11-08,1994-11-20
64209,Golgen,Schoegge,Senior Staff,9999-01-01,1988-02-26,1988-02-26
64487,Tsutomu,Rebaine,Senior Engineer,9999-01-01,1994-09-17,1986-09-17
64532,Atilio,Segond,Senior Engineer,9999-01-01,1996-11-28,1990-11-29
64632,Zsolt,Brender,Senior Staff,9999-01-01,1996-02-21,1995-06-06
64790,Shin,Piveteau,Senior Engineer,9999-01-01,1993-04-19,1985-04-19
64828,Krister,Pappas,Staff,9999-01-01,1999-09-30,1986-06-13
64984,Eldridge,Eldridge,Senior Engineer,9999-01-01,1991-06-24,1986-06-24
65171,Jeane,Tasistro,Technique Leader,9999-01-01,1994-07-06,1991-03-04
65539,Aksel,Picaronny,Senior Engineer,9999-01-01,1998-01-27,1991-01-27
65883,Patricia,Pepe,Senior Staff,9999-01-01,1996-04-18,1991-04-19
65998,Mandell,Alameldin,Senior Staff,9999-01-01,1996-04-08,1988-07-04
66382,Domenico,Candan,Engineer,9999-01-01,1997-07-13,1986-03-15
66530,Dung,Leaver,Staff,9999-01-01,1998-04-04,1988-08-05
66643,Jianhao,Tomescu,Engineer,9999-01-01,1996-08-26,1996-08-26
66702,Deniz,Thibadeau,Senior Engineer,9999-01-01,2000-09-26,1986-03-11
66757,Yonghong,Baig,Staff,9999-01-01,1999-04-10,1994-05-05
66807,Aiman,Rosaz,Senior Engineer,9999-01-01,1999-05-22,1987-06-03
67320,Sadok,Lorys,Senior Staff,9999-01-01,1987-05-10,1987-05-10
67548,Fumitaka,Roohalamini,Staff,9999-01-01,1998-06-27,1997-08-06
67934,Aiman,Gargeya,Senior Engineer,9999-01-01,1993-03-07,1985-03-07
68416,Munenori,Debuse,Senior Engineer,9999-01-01,1990-11-08,1990-11-08
68608,Yucai,Seghrouchni,Senior Engineer,9999-01-01,1994-06-09,1985-06-27
68633,Chinhyun,Rassart,Senior Engineer,9999-01-01,1993-07-29,1987-07-09
68648,Jaques,DiGiano,Technique Leader,9999-01-01,1992-04-01,1992-04-01
69052,Shietung,Shrader,Senior Staff,9999-01-01,1995-08-05,1986-11-13
69219,Shuky,Redmiles,Senior Staff,9999-01-01,1994-07-06,1985-03-18
69867,Miyeon,Rothe,Senior Staff,9999-01-01,1997-04-08,1991-04-09
69878,Chinya,Cooke,Engineer,9999-01-01,1997-01-29,1997-01-29
69936,Lalit,Unni,Assistant Engineer,9999-01-01,1998-12-06,1985-08-15
70469,Tru,Miyakawa,Senior Staff,9999-01-01,1998-09-03,1990-09-03
70990,Arumugam,Nitta,Senior Engineer,9999-01-01,1990-03-23,1987-01-23
71066,Domenick,Basart,Senior Staff,9999-01-01,2001-01-04,1995-05-12
71141,Sajjad,Vitiello,Senior Staff,9999-01-01,1997-02-16,1992-02-17
71188,Pranjal,Schapiro,Senior Staff,9999-01-01,1993-12-14,1986-12-14
71243,Kinh,Buchter,Senior Engineer,9999-01-01,1993-03-29,1986-03-29
71334,Cathie,Peck,Senior Engineer,9999-01-01,1998-04-12,1985-11-07
71685,Kristinn,Olano,Senior Engineer,9999-01-01,1989-10-03,1988-04-24
71710,Hitomi,Takanami,Assistant Engineer,9999-01-01,1997-12-15,1991-02-11
71745,Adil,Laventhal,Engineer,9999-01-01,2001-05-13,1992-05-13
72190,Sajjad,Waeselynck,Engineer,9999-01-01,1999-09-13,1988-05-01
72194,Feiyu,Siepmann,Senior Engineer,9999-01-01,1998-10-01,1998-10-01
72232,Naraig,Veldwijk,Senior Engineer,9999-01-01,1996-07-10,1989-07-10
72640,Honglan,Hutton,Senior Engineer,9999-01-01,1998-10-04,1993-10-04
72918,Takahira,Szilard,Senior Staff,9999-01-01,1993-01-15,1988-01-16
73076,Froduald,Feldhoffer,Senior Engineer,9999-01-01,1993-03-16,1989-02-26
73233,Shigeo,Merey,Senior Engineer,9999-01-01,1985-07-30,1985-07-30
73516,Qingxiang,Badache,Senior Engineer,9999-01-01,1996-06-25,1989-06-25
73743,Anneke,Bernardeschi,Engineer,9999-01-01,1999-11-01,1991-04-05
74200,Holgard,Weiland,Senior Engineer,9999-01-01,1991-09-24,1990-01-02
74344,Hiroyasu,Provine,Engineer,9999-01-01,1994-11-25,1994-11-25
74668,Masako,Bonifati,Senior Staff,9999-01-01,1987-04-09,1987-04-09
74800,Yuuichi,Conde,Senior Engineer,9999-01-01,1999-03-08,1989-03-08
75354,Shuky,Jakobus,Senior Engineer,9999-01-01,1993-06-16,1986-06-16
75703,Kyoichi,Erman,Senior Engineer,9999-01-01,2001-07-25,1993-02-12
76189,Kolar,Hinsberger,Senior Engineer,9999-01-01,1994-10-20,1986-10-20
76201,Arif,Preusig,Senior Engineer,9999-01-01,1992-04-02,1992-04-02
76640,Tristan,Mitsuhashi,Senior Engineer,9999-01-01,2000-07-12,1989-02-18
77030,Faiza,Garnham,Technique Leader,9999-01-01,1986-03-02,1986-03-02
77303,Xinglin,Birge,Senior Staff,9999-01-01,2001-03-05,1987-09-20
77647,Niranjan,Schaaf,Technique Leader,9999-01-01,1989-11-05,1989-10-01
77815,Ronghao,Picaronny,Engineer,9999-01-01,2002-06-09,1993-06-09
78106,Ashish,Ratnaker,Senior Staff,9999-01-01,1986-11-10,1986-11-10
78363,Susumu,Fritzsche,Engineer,9999-01-01,1998-06-23,1998-06-23
78469,Leucio,Cappelli,Staff,9999-01-01,1997-08-22,1997-08-22
78871,Conor,Ghandeharizadeh,Senior Engineer,9999-01-01,1985-05-25,1985-05-25
79043,Katsuo,Hockney,Technique Leader,9999-01-01,1999-11-07,1987-11-06
79171,Guiseppe,Ellozy,Senior Engineer,9999-01-01,1991-01-12,1990-01-14
79310,Jeong,Cunliffe,Senior Staff,9999-01-01,1996-10-27,1987-11-21
79606,Arnd,Peir,Senior Engineer,9999-01-01,1986-12-11,1986-12-11
79763,Sanjoy,Barreiro,Senior Staff,9999-01-01,1996-04-09,1988-04-09
